S.No.,Name of Approval/ NOC/ License/ Permit/Registration,Name of Department,When is approval required,Minimum eligibility for availing the Service,As per which ACT/Rule or directive this NOC/Licence/Permit is necessary(including section),Validity of Approval/ NOC/ License/ Permit/Registration (Expiry Period),Procedure for applying (Manual/ Online),Website( In case of aplying online),Time limit (Issuance of Approval/ NOC/ License/ Permit/Registration after the application) ,Authority responsible for issuance of this (NOC/
License/ Permit/ Registration),Notified under Public Service Guarantee Act(Yes/No),Any other Special Conditions (is there a relation with the Investment Amount, Employment No, Wages, Region, Taxes, etc.) the Investment Amount, Employment No., Wages, Region, Taxes, etc.),Please list the type of Industry for which this approval is applicable
16,FL-5 (Per Day),Department of Commercial Tax(Excise),(Occasional Licence),,,,,,,,,,
17,FL-6,Department of Commercial Tax(Excise),(Military Canteen Wholesale Licence),,,,,,,,,,
18,FL-7,Department of Commercial Tax(Excise),(Military Canteen Retail Licence),,,,,,,,,,
19,FL-8,Department of Commercial Tax(Excise),(Military Club Licence),,,,,,,,,,
20,FL-9 License for Bottling,Department of Commercial Tax(Excise),Bottling license,,"Under rule 8(1) of the Madhya Pradesh Foreign Liquor Rules, 1996",,,http://www.mpexcise.org/,,Excise Commissioner,,,
21,FL-9-A License for Bottling license under Franchise System,Department of Commercial Tax(Excise),Special Bottling license under Franchise System,,"Under rule 8(1) of the Madhya Pradesh Foreign Liquor Rules, 1996",,,http://www.mpexcise.org/,,Excise Commissioner,,,
22,FL-10-A (Outside Manufacturer's Central GodownLicence),Department of Commercial Tax(Excise),"Spirit , Beer & Wine",,,,,,,,,,
23,FL-10-B  CentralGodown Licence for BIO Imported Foreign Liquor,Department of Commercial Tax(Excise),"Spirit , Beer & Wine",,,,,,,,,,
24,D-1 License to manufacture spirit in distillery ,Department of Commercial Tax(Excise),License to manufacturer spirit in distillery,,"Under rule 3(1) of the Madhya Pradesh Distillery Rules, 1995",,,http://www.mpexcise.org/,,Excise Commissioner,,,
25,B-3 Licence,Department of Commercial Tax(Excise),Brewery,,,,,,,,,,
26,CS-1 License for whole sale supply of country liquor,Department of Commercial Tax(Excise),License for whole sale supply of country liquor,,"Under rule 3(1) of the Madhya Pradesh Country Spirit Rules, 1995",,,http://www.mpexcise.org/,,Excise Commissioner,,,
27,CS-1-A (Licence for Export of Country Spirit),Department of Commercial Tax(Excise),,,,,,,,,,,
28,CS-1B License for country spirit bottling,Department of Commercial Tax(Excise),License for country spirit bottling,,"Under rule 3(1) of the Madhya Pradesh Country Spirit Rules, 1995",,,http://www.mpexcise.org/,,Excise Commissioner,,,
29,DS-1 License for Whole Sale of Denatured Spirit,Department of Commercial Tax(Excise),License for Whole Sale of Denatured Spirit,,Under rule 4(1) of the Denatured Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
30,DS-2 License  for retail sale of Denatured Spirit,Department of Commercial Tax(Excise),License for retail sale of Denatured Spirit,,Under rule 4(2) of the Denatured Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
31,DS-3 License for possession of Denatured Spirit by bonfire industry  ,Department of Commercial Tax(Excise),License for possession of Denatured Spirit by bonfire industry,,Under rule 4(3) of the Denatured Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
32,DS-4 License  for druggist of Denatured Spirit,Department of Commercial Tax(Excise),Special License for druggist of Denatured Spirit,,Under rule 7 of the Denatured Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
33,RS-1 License for sale of rectified Spirit,Department of Commercial Tax(Excise),License for sale of rectified Spirit,,Under rule 2 of the Rectified Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
34,RS-2 License for import of rectified Spirit,Department of Commercial Tax(Excise),License for possession of rectified Spirit for manufacture of basic drugs,,Under rule 3(a)(II) of the Rectified Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
35,RS-2-A License for possession of rectified Spirit for manufacture of basic drugs,Department of Commercial Tax(Excise),License for possession of rectified Spirit for manufacture of basic drugs,,Under rule 3(a)(II) of the Rectified Spirit Rules,,,http://www.mpexcise.org/,,District Collector,,,
36,PS-III (Retail Poppy Straw Licence),Department of Commercial Tax(Excise),,,,,,,,,,,
37,B-3 License (Brewery),Department of Commercial Tax(Excise),License brewery,,"Under rule 7 of the Madhya Pradesh Brewery Rules, 1970",,,http://www.mpexcise.org/,,Excise Commissioner,,,
38,L-1 License for Drug Manufacturing,Department of Commercial Tax(Excise),License for Drug Manufacturing,,"Under section 83 of the Medicinal & Toilet Preparation Act, 1955",,,http://www.mpexcise.org/,,Excise Commissioner,,,
39,L-2 License for Drug Manufacturing,Department of Commercial Tax(Excise),License for Drug Manufacturing,,"Under section 83 of the Medicinal & Toilet Preparation Act, 1955",,,http://www.mpexcise.org/,,District Collector,,,
40,License Winery,Department of Commercial Tax(Excise),License Winery,,"Under rule 9(2)(9) of the Madhya Pradesh Winery Rules, 1995",,,http://www.mpexcise.org/,,District Collector,,,
